longname,hashname
1.1.99.1: Choline dehydrogenase,vhnXgILUVlRR
4.1.1.31: Phosphoenolpyruvate carboxylase,rpnNPgrjiRAS
3.1.1.83: Monoterpene epsilon-lactone hydrolase,HamoMxwKLsET
"1.13.11.63: Beta-carotene 15,15'-dioxygenase",nmORUGogrpcM
3.2.1.122: Maltose-6'-phosphate glucosidase,jBZWLmvwrcgY
2.7.1.21: Thymidine kinase,GewkqzJZBIsN
4.4.1.13: Cysteine-S-conjugate beta-lyase,UqvRWbXJflKm
3.4.21.108: HtrA2 peptidase,yFOHXvCLPsXa
"3.2.1.28: Alpha,alpha-trehalase",QQRRLWEvavxG
2.7.10.2: Non-specific protein-tyrosine kinase,oaGKcJqSZOSn
3.6.3.21: Polar-amino-acid-transporting ATPase,iGSRNRkVDgQw
5.4.99.18: 5-(carboxyamino)imidazole ribonucleotide mutase,kXsTwaxiiUTG
1.1.1.41: Isocitrate dehydrogenase (NAD(+)),EvMQWipsoKMl
4.2.1.129: Squalene--hopanol cyclase,PuuPbugVAByg
"5.3.1.32: (4S)-4-hydroxy-5-phosphonooxypentane-2,3-dione isomerase",EAptWgcXldIL
3.5.99.7: 1-aminocyclopropane-1-carboxylate deaminase,bvZFcNkjxwmq
2.1.1.179: 16S rRNA (guanine(1405)-N(7))-methyltransferase,cHUvGfvyjECg
1.1.1.267: 1-deoxy-D-xylulose-5-phosphate reductoisomerase,OeaaNNpQBGxC
1.20.4.1: Arsenate reductase (glutaredoxin),ZboHvXCAlyqV
2.3.1.243: Lauroyl-Kdo(2)-lipid IV(A) myristoyltransferase,hImhBZjNrLwJ
2.7.1.167: D-glycero-beta-D-manno-heptose-7-phosphate kinase,OCupWRngUVjw
1.2.4.1: Pyruvate dehydrogenase (acetyl-transferring),JSzGCoCFIVpL
"1.3.1.39: Enoyl-[acyl-carrier-protein] reductase (NADPH, Re-specific)",AromfAMJEHgz
1.1.1.100: 3-oxoacyl-[acyl-carrier-protein] reductase,rHPVSjWNVzZo
6.3.4.18: 5-(carboxyamino)imidazole ribonucleotide synthase,atZpzRhIHqtV
5.1.99.5: Hydantoin racemase,eWIaKZptNnTp
5.1.3.32: L-rhamnose mutarotase,wgWTHqzvYSbS
2.5.1.61: Hydroxymethylbilane synthase,AzCkbQirFVQA
1.7.7.1: Ferredoxin--nitrite reductase,bRYtmFAChHis
1.2.1.22: Lactaldehyde dehydrogenase,UtSVXVLKzsjk
2.3.2.27: RING-type E3 ubiquitin transferase,kYHhDcakLpag
3.3.1.1: Adenosylhomocysteinase,LxkbulsGxlIw
3.2.1.17: Lysozyme,VdaAXFnezGaw
1.1.1.237: Hydroxyphenylpyruvate reductase,KlkIMTcLRcNf
2.7.1.105: 6-phosphofructo-2-kinase,jlsXaCawZBfe
3.2.1.4: Cellulase,JcQdOdjlyBXg
2.5.1.99: All-trans-phytoene synthase,IjYboSdMnMjM
3.7.1.5: Acylpyruvate hydrolase,eQjbuawzOEmC
3.4.25.1: Proteasome endopeptidase complex,VTLNEKHwdwKO
"3.2.1.103: Keratan-sulfate endo-1,4-beta-galactosidase",mwYfvuanJqRm
1.2.1.16: Succinate-semialdehyde dehydrogenase (NAD(P)(+)),EAZDVqRevtue
1.2.1.88: L-glutamate gamma-semialdehyde dehydrogenase,lqLkhZHsWNcJ
3.4.11.5: Prolyl aminopeptidase,VQMIqNRPMucE
1.5.1.43: Carboxynorspermidine synthase,zzoaIvCZfHnD
1.17.98.1: Bile-acid 7-alpha-dehydroxylase,PxZePiabUWit
5.1.3.11: Cellobiose epimerase,dmlAhWBULWGj
1.7.1.7: GMP reductase,bHiitsPvijAI
2.3.1.79: Maltose O-acetyltransferase,eCPXyQzgDaGF
2.5.1.147: NO_NAME,BhYXLjNgRkim
3.5.1.98: Histone deacetylase,UDHBhunSwxaw
4.1.1.70: Glutaconyl-CoA decarboxylase,bqZExuZoBYhp
2.1.1.148: Thymidylate synthase (FAD),kxoVPOTaqJqQ
3.5.1.115: Mycothiol S-conjugate amidase,iwKNiSNVQbFg
2.3.1.4: Glucosamine-phosphate N-acetyltransferase,eLXCJpGYNLTd
1.6.2.2: Cytochrome-b5 reductase,erZFfYXCMRav
2.7.1.13: Dehydrogluconokinase,RCUDCkuNtqOT
7.6.2.5: NO_NAME,MPZJqMuTVYKJ
4.4.1.1: Cystathionine gamma-lyase,EGVXrgnUpCru
3.5.1.11: Penicillin amidase,WYXXmqzsiBuj
3.6.1.27: Undecaprenyl-diphosphate phosphatase,DVRORYQPmaXh
6.3.1.8: Glutathionylspermidine synthase,DSKnPjDBEDwM
1.1.1.411: NO_NAME,OmanmzUrXHKM
"1.13.11.2: Catechol 2,3-dioxygenase",VkXaMwtmswvl
3.5.99.5: 2-aminomuconate deaminase,kPiIfNHKoVee
2.1.1.164: Demethylrebeccamycin-D-glucose O-methyltransferase,TYbRdbbjnFvH
3.6.4.12: DNA helicase,lULEGCcJLhjv
6.3.2.7: UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--L-lysine ligase,GyrQiocSKUqQ
5.4.99.59: dTDP-fucopyranose mutase,PYKcVUnzJTsb
3.4.24.13: IgA-specific metalloendopeptidase,GbgTlFosnWYi
3.1.3.74: Pyridoxal phosphatase,ZDkTcoMlwpYx
1.17.1.5: Nicotinate dehydrogenase,xzWTeQlRbjsG
4.1.1.85: 3-dehydro-L-gulonate-6-phosphate decarboxylase,vcfjrmqRBoHl
3.2.1.82: Exo-poly-alpha-galacturonosidase,HawICGwjGqSM
3.6.3.3: Cadmium-exporting ATPase,sOdjbAqOHhPF
2.7.11.17: Calcium/calmodulin-dependent protein kinase,tHBclIynHXOR
3.4.17.11: Glutamate carboxypeptidase,hPRCGuNbslFG
"3.2.1.75: Glucan endo-1,6-beta-glucosidase",kyWleSIftJDB
4.2.1.130: D-lactate dehydratase,JbDmzcfCAhVV
2.4.1.248: Cycloisomaltooligosaccharide glucanotransferase,KooFEOYfOikN
4.3.2.2: Adenylosuccinate lyase,dFZQlNTXNDjE
6.3.5.6: Asparaginyl-tRNA synthase (glutamine-hydrolyzing),pTGxvPvqsYVt
"3.1.4.55: Phosphoribosyl 1,2-cyclic phosphate phosphodiesterase",EapqXEsNtCLp
3.5.2.6: Beta-lactamase,gIEXRszQmGsU
4.1.1.74: Indolepyruvate decarboxylase,YncWrkODEbdc
"4.1.99.12: 3,4-dihydroxy-2-butanone-4-phosphate synthase",hUIdIerkNwOK
4.2.1.136: ADP-dependent NAD(P)H-hydrate dehydratase,KqwgQVRIiJhL
2.7.1.191: NO_NAME,gPgKshbqPieC
2.7.3.9: Phosphoenolpyruvate--protein phosphotransferase,XbyktMbPxZLX
6.3.4.3: Formate--tetrahydrofolate ligase,wzHxPhppWyRr
2.7.2.4: Aspartate kinase,WCrWZZTNroxl
"3.2.1.165: Exo-1,4-beta-D-glucosaminidase",gTzxmDEEUAwY
5.1.3.7: UDP-N-acetylglucosamine 4-epimerase,AQOGPkjzAcpG
2.5.1.72: Quinolinate synthase,tktqRmgpCnga
2.6.1.76: Diaminobutyrate--2-oxoglutarate transaminase,KSXsMAmaEVyQ
1.4.3.16: L-aspartate oxidase,NZyLTaotTyAS
1.1.1.243: Carveol dehydrogenase,LxieHusdcCHb
"1.3.1.10: Enoyl-[acyl-carrier-protein] reductase (NADPH, Si-specific)",RNdfJpKwKbCU
5.1.1.8: 4-hydroxyproline epimerase,BrfEQMybknwF
2.3.1.122: Trehalose O-mycolyltransferase,YMvvJtjNtBLu
1.6.99.1: NADPH dehydrogenase,GpCMnMMNnrhr
3.5.2.7: Imidazolonepropionase,ZCzHeYPAmJJk
3.5.99.3: Hydroxydechloroatrazine ethylaminohydrolase,mSastJDphnlw
2.7.1.6: Galactokinase,TcmAXWQmcJha
2.5.1.140: NO_NAME,kDvpMZynzptO
2.7.7.62: Adenosylcobinamide-phosphate guanylyltransferase,oFioMubgXENM
3.1.1.3: Triacylglycerol lipase,bdxcGXfseBEj
1.12.99.6: Hydrogenase (acceptor),qcPPwiyUftew
2.7.1.130: Tetraacyldisaccharide 4'-kinase,xVwbrZbqQyQM
2.4.2.44: S-methyl-5'-thioinosine phosphorylase,zmIypJJDrZfU
"1.1.1.44: Phosphogluconate dehydrogenase (NADP(+)-dependent, decarboxylating)",ewHiLzvvgNTf
1.4.3.19: Glycine oxidase,OcFSTBwcgzKD
2.7.7.18: Nicotinate-nucleotide adenylyltransferase,HhuhKTtKDuLQ
3.1.4.58: NO_NAME,lLPkKJLvluZU
2.3.1.169: CO-methylating acetyl-CoA synthase,stTLNYqpabNY
2.1.4.1: Glycine amidinotransferase,cKXMGuAgKtvR
1.4.3.4: Monoamine oxidase,wzEBJkwgkdjV
5.4.2.10: Phosphoglucosamine mutase,QiACwlNklIxC
1.5.99.6: Spermidine dehydrogenase,bRSxVPPILrPf
"1.3.1.20: Trans-1,2-dihydrobenzene-1,2-diol dehydrogenase",JyJSJOLYsCnF
3.2.1.156: Oligosaccharide reducing-end xylanase,zBLNzJklCTcb
3.5.3.22: Proclavaminate amidinohydrolase,wqtBRSKRKEye
2.6.1.66: Valine--pyruvate transaminase,aGqMYwzRjjOa
1.7.99.4: Nitrate reductase,wlULflaucCZE
2.3.2.3: Lysyltransferase,gYpTWdxkzEQd
2.4.1.216: Trehalose 6-phosphate phosphorylase,ZACqrtzFCEkN
2.7.7.22: Mannose-1-phosphate guanylyltransferase (GDP),yVAHBXTNEdCP
7.1.1.3: NO_NAME,ZHXxnTfbZogb
1.7.5.1: Nitrate reductase (quinone),CZCIyvinVqJS
5.3.3.10: 5-carboxymethyl-2-hydroxymuconate Delta-isomerase,QpOmgCiqmMQF
5.3.3.14: Trans-2-decenoyl-[acyl-carrier-protein] isomerase,ChPQiIFfmDWF
1.14.19.1: Stearoyl-CoA 9-desaturase,ABqAyfbqJYfG
4.2.1.40: Glucarate dehydratase,ETBmUTEECqLy
2.3.1.254: NO_NAME,kCDpKfLCbKTO
"2.7.11.32: [Pyruvate, phosphate dikinase] kinase",gPAYFxGxXeoG
"1.1.1.343: Phosphogluconate dehydrogenase (NAD(+)-dependent, decarboxylating)",aTakanStBGNV
"3.2.1.113: Mannosyl-oligosaccharide 1,2-alpha-mannosidase",EYIcIFVoFmJn
3.2.1.21: Beta-glucosidase,PlTrlcScWRfW
"2.4.1.15: Alpha,alpha-trehalose-phosphate synthase (UDP-forming)",jpweIDVuQvyO
3.4.16.4: Serine-type D-Ala-D-Ala carboxypeptidase,QveevpdOhWgu
4.2.1.59: 3-hydroxyacyl-[acyl-carrier-protein] dehydratase,IfwNdAElDSoA
2.7.1.32: Choline kinase,PRFfAaoggOOl
1.1.2.4: D-lactate dehydrogenase (cytochrome),DRBGiBXbLCPx
1.1.1.281: GDP-4-dehydro-6-deoxy-D-mannose reductase,CPvuleXkRcNR
1.4.1.4: Glutamate dehydrogenase (NADP(+)),QiKmxqdWhSsu
3.1.4.52: Cyclic-guanylate-specific phosphodiesterase,PNgLqChlQtUB
1.1.98.6: NO_NAME,LhJJIpyTuvNQ
2.1.1.227: 16S rRNA (cytidine(1409)-2'-O)-methyltransferase,fJlBRhtoYWvO
3.5.1.49: Formamidase,rFMStQWSBFuL
4.1.1.97: 2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase,hmPynCSEIpmd
1.1.2.3: L-lactate dehydrogenase (cytochrome),ZeTNVkNhPSEx
1.2.1.18: Malonate-semialdehyde dehydrogenase (acetylating),hHHRBLGSimfX
3.2.1.83: Kappa-carrageenase,nWPqoXdZuOiG
1.1.1.14: L-iditol 2-dehydrogenase,ZQORILFJrxzR
5.4.99.23: 23S rRNA pseudouridine(1911/1915/1917) synthase,fGJkXUXHMRwl
4.2.2.20: Chondroitin-sulfate-ABC endolyase,ZJPmkVWyeIxn
4.2.1.149: Crotonobetainyl-CoA hydratase,BeGhzdbiPEvY
2.4.2.43: Lipid IV(A) 4-amino-4-deoxy-L-arabinosyltransferase,SjdDCqBscmqa
3.1.30.2: Serratia marcescens nuclease,gvXVwMsklzZg
4.2.1.32: L(+)-tartrate dehydratase,xljtLgfxdbDe
3.4.17.13: Muramoyltetrapeptide carboxypeptidase,ufnoKjjzWyhz
2.7.1.92: 5-dehydro-2-deoxygluconokinase,myOGGOLMIvwA
1.2.1.21: Glycolaldehyde dehydrogenase,DKofGKfHuFnX
5.1.3.10: CDP-paratose 2-epimerase,RuaAezreLJaC
2.2.1.1: Transketolase,YhghFoxmOlcX
1.3.1.44: Trans-2-enoyl-CoA reductase (NAD(+)),hWrRqGRqmZBI
1.16.1.9: Ferric-chelate reductase (NADPH),kcPRKcvCtdxZ
2.1.3.1: Methylmalonyl-CoA carboxytransferase,YaacChXojHdY
6.3.5.4: Asparagine synthase (glutamine-hydrolyzing),jDrqeyrzSwXJ
3.6.3.42: Beta-glucan-transporting ATPase,mwYdBGuplYhI
3.5.4.30: dCTP deaminase (dUMP-forming),RCLEpagKqHBM
"4.2.1.45: CDP-glucose 4,6-dehydratase",RIldyGXHolwD
4.3.1.18: D-serine ammonia-lyase,gvqenQNxwuPG
2.7.2.2: Carbamate kinase,picvmJRbTTQV
2.4.1.117: Dolichyl-phosphate beta-glucosyltransferase,CQmbgGxxDYfA
2.3.1.181: Lipoyl(octanoyl) transferase,awZVvuHlPIbf
2.1.1.156: Glycine/sarcosine N-methyltransferase,JzmlDAqsDqot
4.2.1.55: 3-hydroxybutyryl-CoA dehydratase,cHlpxCvLaUuz
1.20.4.3: Mycoredoxin,LnXdniUVfmnU
5.3.2.3: deoxy-alpha-D-galactopyranose-forming),EDOFIwkfdEWl
3.5.1.26: N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase,OhTJkOnMltGn
3.5.5.1: Nitrilase,OOZFiELiuusM
1.6.1.1: NAD(P)(+) transhydrogenase (Si-specific),DOOAcnXCEjJH
2.7.1.198: NO_NAME,pxzzwVuLEzHl
3.7.1.12: Cobalt-precorrin 5A hydrolase,QLpRlQmpYckE
7.2.2.6: NO_NAME,dgzDiyokyFuC
1.1.1.6: Glycerol dehydrogenase,VFWUWLoFKqBM
2.7.8.26: Adenosylcobinamide-GDP ribazoletransferase,epxcAysSeaOg
1.1.99.2: L-2-hydroxyglutarate dehydrogenase,FGLrOyoSHOyj
2.5.1.49: O-acetylhomoserine aminocarboxypropyltransferase,BTNayNxvwkrt
6.2.1.19: Long-chain-fatty-acid--luciferin-component ligase,uAXDrvhDiJMf
2.7.1.56: 1-phosphofructokinase,PuJLAQKoPojc
3.2.1.178: Beta-porphyranase,QSQAdjFusonw
1.3.1.114: NO_NAME,LKsZSKjUQbIN
4.2.1.90: L-rhamnonate dehydratase,KtCfNriVAfmf
3.2.1.96: Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase,VwQPpSJsDWuk
3.2.1.81: Beta-agarase,UwNNXEdKIXzJ
3.5.2.3: Dihydroorotase,XRRCvCybHqWT
3.5.1.103: deacetylase,DIQengURERFP
2.1.1.189: 23S rRNA (uracil(747)-C(5))-methyltransferase,nJutuoiqSMmA
2.5.1.64: Transferred entry: 2.2.1.9 and 4.2.99.20,YYgiQXySIXAz
2.1.1.191: 23S rRNA (cytosine(1962)-C(5))-methyltransferase,cXMymSnlexsS
1.3.1.86: Crotonyl-CoA reductase,putBFdoMCTKI
5.4.99.26: tRNA pseudouridine(65) synthase,XzKWeagryXUP
1.3.3.11: Pyrroloquinoline-quinone synthase,qeZIvuGcIcTM
3.1.1.5: Lysophospholipase,AWewYypEyWRt
1.1.1.103: L-threonine 3-dehydrogenase,KdHosoOMvBwe
3.4.21.62: Subtilisin,jNhMfdznzuDl
5.5.1.1: Muconate cycloisomerase,HhtKodoHeCrh
1.1.1.64: Testosterone 17-beta-dehydrogenase (NADP(+)),ddWgcXWoGKfQ
2.1.1.113: Site-specific DNA-methyltransferase (cytosine-N(4)-specific),dAAHmwQQMWzU
7.6.2.7: NO_NAME,uSdPjUBjFDLn
6.2.1.22: [Citrate (pro-3S)-lyase] ligase,uZgXfvuQfByQ
4.2.1.68: L-fuconate dehydratase,SgkkNYijsaWm
2.7.1.68: 1-phosphatidylinositol-4-phosphate 5-kinase,OEFFBxsiKIon
1.18.1.6: Adrenodoxin-NADP(+) reductase,YtsOkQMsuEFn
4.1.99.2: Tyrosine phenol-lyase,sijidXgDzzxY
3.4.21.107: Peptidase Do,fapHEZoQYKqr
2.7.8.24: Phosphatidylcholine synthase,AISfaaMvcBeK
5.3.3.2: Isopentenyl-diphosphate Delta-isomerase,GOJdLYpmIAWU
2.7.1.83: Pseudouridine kinase,kFcHgwXHktCm
"3.2.1.151: Xyloglucan-specific endo-beta-1,4-glucanase",PqVQZCGRRWQE
2.7.8.5: CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,KcqmTBfsjxpd
2.5.1.56: N-acetylneuraminate synthase,UxoOUoLhFrRK
4.2.3.12: 6-pyruvoyltetrahydropterin synthase,AXQNJDpjnEjB
2.2.1.2: Transaldolase,iMnXXEKAFFDB
"2.7.4.28: ([Pyruvate, water dikinase] phosphate) phosphotransferase",XRsPVxqYMmnP
3.5.1.87: N-carbamoyl-L-amino-acid hydrolase,lToFsajaDWFz
1.4.99.1: Transferred entry: 1.4.99.6,DAQGsZdcmWfb
2.1.1.220: tRNA (adenine(58)-N(1))-methyltransferase,GKDKGEqCwvrR
5.3.1.28: D-sedoheptulose 7-phosphate isomerase,HdfgGDeqMlAv
3.1.4.14: [Acyl-carrier-protein] phosphodiesterase,ZwXuxVyAAVBH
3.2.1.23: Beta-galactosidase,NsoBPvdzqwBS
4.4.1.11: Methionine gamma-lyase,KIxFzwoFtnsF
2.5.1.16: Spermidine synthase,RgHyaNdfUDqg
5.4.2.6: Beta-phosphoglucomutase,ijogeiGKsAOU
6.3.3.1: Phosphoribosylformylglycinamidine cyclo-ligase,pDAKUDZJtTJU
3.5.3.4: Allantoicase,tzbWXnZUojQk
1.14.13.113: FAD-dependent urate hydroxylase,hnExymAwIZLQ
4.3.99.2: Carboxybiotin decarboxylase,oYuRGHDTeajf
4.1.3.18: Transferred entry: 2.2.1.6,FkLvuGZverNg
3.1.21.1: Deoxyribonuclease I,psBTqVqJMmRK
1.3.8.8: Long-chain-acyl-CoA dehydrogenase,RptxXeTXfvUH
2.3.1.128: Ribosomal-protein-alanine N-acetyltransferase,gKwpxFSUhwju
1.1.3.12: Pyridoxine 4-oxidase,PjzInFeHPNpM
2.4.1.7: Sucrose phosphorylase,GiVICRvhKHIj
5.3.1.30: 5-deoxy-glucuronate isomerase,wyFCZFfZawPH
1.3.1.76: Precorrin-2 dehydrogenase,gYyWEGvhDLpk
2.1.1.157: Sarcosine/dimethylglycine N-methyltransferase,EHPMAYcVjahE
3.6.1.65: (d)CTP diphosphatase,QNMJiZOROOGH
4.2.3.3: Methylglyoxal synthase,KpDBZBxRNXAO
2.1.1.114: Polyprenyldihydroxybenzoate methyltransferase,hvgHEJrpyXCh
7.2.2.8: NO_NAME,HzHVEsAZhdjS
6.3.5.8: Transferred entry: 2.6.1.85,bfhKXEFomOsK
5.3.1.15: D-lyxose ketol-isomerase,eGTEIzGUxsqy
1.1.1.53: 3-alpha(or 20-beta)-hydroxysteroid dehydrogenase,xFiKjjZysHZn
2.3.1.75: Long-chain-alcohol O-fatty-acyltransferase,tBaFaOFnghWm
2.7.4.25: (d)CMP kinase,LjdHqdlbUEhB
2.1.1.222: 2-polyprenyl-6-hydroxyphenol methylase,eshWdBGmsxVM
3.4.21.81: Streptogrisin B,iLiqOfJZKVFY
2.4.1.289: N-acetylglucosaminyl-diphospho-decaprenol L-rhamnosyltransferase,OmnBuaWnyBUf
3.6.3.23: Oligopeptide-transporting ATPase,ianaosxAbEjU
1.1.1.17: Mannitol-1-phosphate 5-dehydrogenase,suZmjsguTQNg
1.3.1.91: tRNA-dihydrouridine(20) synthase (NAD(P)(+)),xJRDmgKHUmgO
1.15.1.2: Superoxide reductase,cQpJuBYjVZWx
4.2.1.43: 2-dehydro-3-deoxy-L-arabinonate dehydratase,NvMAlQJOBdOn
4.1.2.5: L-threonine aldolase,NfLrHjYmCpOq
2.8.1.2: 3-mercaptopyruvate sulfurtransferase,QYNNcTXsjApz
3.6.1.1: Inorganic diphosphatase,xSpHwlnSSmEy
2.1.2.10: Aminomethyltransferase,huvXFUVXQpVY
1.21.4.3: Sarcosine reductase,OTBaMjRPfDxW
2.3.1.n4: 1-acyl-sn-glycerol-3-phosphate acyltransferase,FQeoZWsMbBYa
2.1.1.187: 23S rRNA (guanine(745)-N(1))-methyltransferase,fDcKHEJiSHPb
"3.2.1.136: Glucuronoarabinoxylan endo-1,4-beta-xylanase",CazAnuGXUzfi
"3.1.4.17: 3',5'-cyclic-nucleotide phosphodiesterase",IemcvnjKScdO
2.7.7.41: Phosphatidate cytidylyltransferase,KLsBSnnuNvbZ
2.3.3.14: Homocitrate synthase,UQWhYGmtqdKk
5.3.2.6: 2-hydroxymuconate tautomerase,SPFXTULUMYGW
"1.1.1.346: 2,5-didehydrogluconate reductase (2-dehydro-L-gulonate-forming)",RsOSalROpotN
6.3.4.23: Formate--phosphoribosylaminoimidazolecarboxamide ligase,BjyvwEQITamU
2.1.1.77: Protein-L-isoaspartate(D-aspartate) O-methyltransferase,wRsQaiwJaBjt
2.1.1.80: Protein-glutamate O-methyltransferase,AhdtgHvZBChA
"1.3.8.2: 4,4'-diapophytoene desaturase (4,4'-diapolycopene-forming)",BFsqFnhIXQkd
6.3.4.14: Biotin carboxylase,hheDlKfkVSnH
3.6.3.5: Zinc-exporting ATPase,YpRrNxpysOEc
3.6.3.6: Proton-exporting ATPase,TgKvTjzutmCL
3.4.24.56: Insulysin,EmwrYnzZzKzJ
4.2.1.113: o-succinylbenzoate synthase,XhrrOomcTLMW
3.6.3.14: H(+)-transporting two-sector ATPase,lgfvPGJFCoLm
"3.2.1.64: 2,6-beta-fructan 6-levanbiohydrolase",KxNNadYYcVOC
6.3.2.9: UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase,bZrVXXmejreA
6.3.2.45: diaminoheptanedioate ligase,QiwXYOdnaZsz
"2.7.9.3: Selenide, water dikinase",BQVhMPjMeKSI
1.8.1.19: Sulfide dehydrogenase,BGBCscBOzCcJ
1.4.3.1: D-aspartate oxidase,cNFXntXVJQbl
3.1.22.4: Crossover junction endodeoxyribonuclease,ojQOPAQWCkaX
4.2.2.19: Chondroitin B lyase,dfyDzYmnYIDY
"3.2.1.32: Endo-1,3-beta-xylanase",olpXXjxIccrZ
1.6.5.11: NADH dehydrogenase (quinone),bqHEcPqKZJis
"3.2.1.94: Glucan 1,6-alpha-isomaltosidase",xaoduoknKChz
1.2.1.41: Glutamate-5-semialdehyde dehydrogenase,poUTUnYuJoyG
1.2.4.4: 3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring),tXvRyHvNotsL
4.2.1.103: Cyclohexyl-isocyanide hydratase,dlSPaDsoSGhp
3.2.2.9: Adenosylhomocysteine nucleosidase,uitXtQjxifvW
6.3.2.3: Glutathione synthase,tAhJamSqHvOo
"3.2.1.3: Glucan 1,4-alpha-glucosidase",mWYvMSEAtCwB
1.1.1.51: 3(or 17)-beta-hydroxysteroid dehydrogenase,AccHPmFFNvAF
1.14.13.59: L-lysine N(6)-monooxygenase (NADPH),HYvJEwVjIlEv
2.7.1.40: Pyruvate kinase,keDoAGKlAPOq
5.5.1.7: Chloromuconate cycloisomerase,CEGMKlFzxrum
"3.7.1.14: 2-hydroxy-6-oxonona-2,4-dienedioate hydrolase",RufywmgKVHjF
5.4.99.29: 23S rRNA pseudouridine(746) synthase,kfmbuUtLXGSG
"2.7.4.27: ([Pyruvate, phosphate dikinase] phosphate) phosphotransferase",ddEndQEgAqMa
2.7.2.8: Acetylglutamate kinase,HjtcBDFgvfGX
3.1.1.61: Protein-glutamate methylesterase,aWwhrNuEfIov
4.2.2.25: Gellan lyase,GvurBJYTRZpK
4.3.1.23: Tyrosine ammonia-lyase,qREzLDuhvuUe
2.5.1.3: Thiamine-phosphate diphosphorylase,VdELsGqxwaba
6.1.1.20: Phenylalanine--tRNA ligase,eVPNoLLXGtmf
4.2.1.30: Glycerol dehydratase,AZqJKAlmQlES
"1.13.11.39: Biphenyl-2,3-diol 1,2-dioxygenase",qeuhlCcmkljb
3.6.3.2: Magnesium-importing ATPase,SYIWgPzANeBT
1.1.1.21: Aldehyde reductase,HuXujePmaDiJ
1.11.1.5: Cytochrome-c peroxidase,CpJFNGpreLGk
2.7.7.33: Glucose-1-phosphate cytidylyltransferase,vVUdTdAxolvB
2.7.7.75: Molybdopterin adenylyltransferase,wgRmcwTgWBsh
5.3.1.13: Arabinose-5-phosphate isomerase,SpmzlsWpDUQq
3.3.2.1: Isochorismatase,LqevdEKimOVG
5.3.2.2: Oxaloacetate tautomerase,qgyuFmLHJCqZ
6.4.1.8: Acetophenone carboxylase,jRasXGEYDgjp
2.7.4.1: Polyphosphate kinase,gWZAzFRkVCBV
2.7.1.27: Erythritol kinase,JMayGsrkHtpm
2.6.1.5: Tyrosine transaminase,WuIwOsCUhBgB
3.1.3.89: 5'-deoxynucleotidase,OkCwnondpnJN
3.3.2.9: Microsomal epoxide hydrolase,SVuuqJcspgZV
2.4.2.57: AMP phosphorylase,JogJYpqsEfxh
2.7.4.26: Isopentenyl phosphate kinase,OuXaQYlGeEka
6.1.1.6: Lysine--tRNA ligase,ZcvxpvgKRGLp
5.99.1.3: DNA topoisomerase (ATP-hydrolyzing),GJAOZRCaPYpw
2.7.7.66: Malonate decarboxylase holo-[acyl-carrier protein] synthase,fpldXsmhcGca
3.2.2.10: Pyrimidine-5'-nucleotide nucleosidase,HMfpOuYstjxy
4.1.2.20: 2-dehydro-3-deoxyglucarate aldolase,vEDJHItXOOMJ
4.1.2.28: 2-dehydro-3-deoxy-D-pentonate aldolase,CoFboragOdYL
2.1.2.13: UDP-4-amino-4-deoxy-L-arabinose formyltransferase,AmvxxXASVGZa
3.5.4.16: GTP cyclohydrolase I,FrtVKWrfieMu
3.7.1.2: Fumarylacetoacetase,XemMaHONoRfH
1.5.1.39: FMN reductase (NAD(P)H),adHNdVAZjLdj
3.6.3.31: Polyamine-transporting ATPase,pWyIbniOBELG
1.17.1.2: 4-hydroxy-3-methylbut-2-enyl diphosphate reductase,HyqzTewbBAyV
3.5.1.28: N-acetylmuramoyl-L-alanine amidase,mztPBaKkDDPL
2.4.2.7: Adenine phosphoribosyltransferase,hGJXLhSutEbx
3.5.1.100: (R)-amidase,meItZwtCdIxu
2.1.1.298: Ribosomal protein L3 N(5)-glutamine methyltransferase,rRCHhPrcqCpx
1.19.1.1: NO_NAME,FAzqXlBJXhbO
1.5.1.28: Opine dehydrogenase,npojxtcCGOtx
2.7.4.9: dTMP kinase,KMforWFVjeGh
1.6.5.10: NADPH dehydrogenase (quinone),WsYhwEeROsQV
3.7.1.4: Phloretin hydrolase,lPhzfKDSEvlZ
2.3.2.6: Leucyltransferase,OGazVgijESHy
2.7.1.162: N-acetylhexosamine 1-kinase,xifWMFoIPtmm
"1.1.5.2: Quinoprotein glucose dehydrogenase (PQQ, quinone)",PSmoapCZRMvo
4.2.1.168: NO_NAME,HHfxSrbFigcJ
1.2.1.50: Long-chain-fatty-acyl-CoA reductase,TOsSqLKWMPri
2.1.1.n11: Methylphosphotriester-DNA--[protein]-cysteine S-methyltransferase,RYazoFGLDwPz
1.14.11.47: 50S ribosomal protein L16 3-hydroxylase,PdDxzyHXycUM
5.3.1.27: 6-phospho-3-hexuloisomerase,JfNTHRQnhQtx
2.3.1.157: Glucosamine-1-phosphate N-acetyltransferase,pzKrBrsgMaEG
2.8.4.2: Arsenate-mycothiol transferase,EOfUkFuqvDWj
